param,grid_len,algo,n_meshes,chamfer_mean,chamfer_std,chamfer_median,hausdorff_mean,hausdorff_std,hausdorff_median,f1_mean,f1_std,f1_median
grid,50,mc,10,0.00136279,0.00051062,0.00133979,0.0266864,0.01028462,0.024467,0.99565,0.00667653,0.9992
grid,50,mes,10,0.00107953,0.0006102,0.00101632,0.0168008,0.00464457,0.0159765,0.99935,0.00083033,0.99975
grid,50,ours,10,0.00034964,0.00025136,0.0002818,0.0103067,0.00373473,0.0087035,0.99999,3.162e-05,1.0
grid,50,rfta,10,0.00085024,0.00046377,0.00078662,0.0184972,0.00542281,0.017024,0.9992,0.00127715,0.9999
scattered,50,mes,10,0.0008372,0.00051253,0.00076867,0.0192371,0.0052733,0.0192405,0.99925,0.00096868,0.9995
scattered,50,ours,10,0.00032675,0.0002549,0.00028388,0.0102254,0.00265707,0.01007,1.0,0.0,1.0
scattered,50,rfta,10,0.00088299,0.00049809,0.0008505,0.0210209,0.00546958,0.0197625,0.99852,0.00279157,0.9998
